,English,Sphanish
0,and,y
1,that,ese
2,of,de
3,me,me
4,this,esta
5,know,saber
6,for,por
7,be,ser
8,on,en
9,was,fue
10,so,asi que
11,but,pero
12,well,bien
13,he,él
14,about,acerca de
15,get,obtener
16,going,yendo
17,want,querer
18,that's,esa es
19,did,hizo
20,come,ven
21,would,haría
22,when,Cuándo
23,will,voluntad
24,okay,okey
25,back,espalda
26,mean,significar
27,could,podría
28,been,estado
29,because,porque
30,some,algunos
31,then,luego
32,say,decir
33,way,manera
34,gonna,ir a
35,them,ellos
36,over,sobre
37,sorry,lo siento
38,thing,cosa
39,am,soy
40,down,abajo
41,very,muy
42,life,la vida
43,even,incluso
44,people,gente
45,god,Dios
46,still,todavía
47,into,en
48,nothing,nada
49,again,de nuevo
50,things,cosas
51,night,noche
52,believe,creer
53,other,otro
54,everything,todo
55,after,después
56,last,último
57,they're,ellos son
58,guy,chico
59,long,largo
60,wanted,buscado
61,huh,eh
62,those,esos
63,big,grande
64,happened,sucedió
65,won't,no lo hará
66,trying,difícil
67,kind,tipo
68,wrong,equivocado
69,made,hecho
70,guess,adivinar
71,bad,malo
72,we'll,bien
73,together,juntos
74,leave,abandonar
75,hear,oír
76,else,demás
77,stay,permanecer
78,wasn't,no era
79,mind,mente
80,hell,infierno
81,you'll,Vas
82,own,propio
83,whole,entero
84,another,otro
85,ask,preguntar
86,must,deber
87,coming,viniendo
88,old,viejo
89,which,cuales
90,knew,supo
91,son,hijo
92,went,fue
93,hmm,mmm
94,saw,vio
95,sir,señor
96,friend,amigo
97,already,ya
98,may,mayo
99,problem,problema
100,minute,minuto
101,exactly,exactamente
102,ah,ah
103,happen,suceder
104,hurt,lastimar
105,boy,chico
106,both,ambas cosas
107,while,tiempo
108,since,ya que
109,start,comienzo
110,kill,matar
111,wants,quiere
112,gone,desaparecido
113,supposed,supuesto
114,friends,amigos
115,stuff,cosas
116,most,la mayoría
117,truth,verdad
118,face,rostro
119,TRUE,CIERTO
120,each,cada
121,wife,esposa
122,chance,oportunidad
123,run,correr
124,person,persona
125,somebody,alguien
126,such,tal
127,point,punto
128,meet,reunirse
129,many,muchos
130,looks,mira
131,turn,girar
132,wish,deseo
133,kids,niños
134,trust,confianza
135,check,cheque
136,five,cinco
137,ha,decir ah
138,year,año
139,brother,hermano
140,ago,atrás
141,crazy,loco
142,party,fiesta
143,open,abierto
144,afraid,asustado
145,kid,niño
146,word,palabra
147,couple,Pareja
148,feeling,sentimiento
149,wow,Guau
150,gets,obtiene
151,under,bajo
152,set,colocar
153,close,cerrar
154,easy,fácil
155,tried,intentado
156,far,lejos
157,times,veces
158,hospital,hospital
159,anybody,cualquiera
160,die,morir
161,police,policía
162,stand,pararse
163,hit,pegar
164,story,historia
165,ya,ya
166,husband,marido
167,answer,respuesta
168,office,oficina
169,cool,Genial
170,shouldn't,no debería
171,side,lado
172,moment,momento
173,started,empezado
174,young,joven
175,lucky,afortunado
176,pick,elegir
177,sometimes,algunas veces
178,em,em
179,also,además
180,date,fecha
181,line,línea
182,plan,plan
183,hours,horas
184,hands,las manos
185,behind,detrás
186,ahead,adelante
187,week,semana
188,fight,lucha
189,eat,comer
190,goes,va
191,along,a lo largo de
192,save,salvar
193,seems,parece
194,worried,preocupado
195,upset,disgustado
196,Ethan,Ethan
197,met,reunió
198,children,niños
199,weren't,no eran
200,leaving,partida
201,loved,amado
202,hot,caliente
203,six,seis
204,daddy,papá
205,sweet,dulce
206,Paul,Paul
207,meant,quiso decir
208,happens,sucede
209,bet,apuesta
210,kidding,es una broma
211,meeting,cita
212,sound,sonido
213,fault,culpa
214,fuck,Mierda
215,ten,diez
216,women,mujeres
217,welcome,bienvenidos
218,speak,hablar
219,lady,dama
220,Christmas,Navidad
221,body,cuerpo
222,ooh,Oh
223,handle,encargarse de
224,spend,gastar
225,totally,totalmente
226,realize,darse cuenta de
227,d,D
228,needed,necesario
229,o,o
230,taken,tomado
231,died,fallecido
232,changed,cambió
233,sign,firmar
234,boys,Niños
235,relationship,relación
236,Michael,Miguel
237,lying,acostado
238,weird,extraño
239,she'll,cáscara
240,Max,Max
241,known,conocido
242,questions,preguntas
243,obviously,obviamente
244,pain,dolor
245,throw,lanzar
246,cold,frío
247,Natalie,Natalie
248,food,comida
249,none,ninguno
250,marry,casar
251,test,prueba
252,drop,soltar
253,cannot,no poder
254,protect,proteger
255,twenty,veinte
256,class,clase
257,Lucy,Lucy
258,looked,miró
259,mad,enojado
260,gun,pistola
261,situation,situación
262,hasn't,no tiene
263,worth,valor
264,Sheridan,Sheridan
265,amazing,increíble
266,top,cima
267,involved,involucrado
268,step,paso
269,ms,milisegundo
270,honor,honor
271,personal,personal
272,evil,maldad
273,honest,honesto
274,missed,omitido
275,dollars,dólares
276,George,Jorge
277,Ross,Ross
278,trip,viaje
279,club,club
280,Niles,Niles
281,calm,calma
282,imagine,imagina
283,Todd,Todd
284,caught,atrapó
285,blame,culpar
286,sitting,sentado
287,court,Tribunal
288,clean,limpio
289,accident,accidente
290,wake,despertarse
291,prove,probar
292,table,mesa
293,mouth,boca
294,pregnant,embarazada
295,middle,medio
296,shall,deberá
297,figured,figurado
298,buddy,compañero
299,early,temprano
300,angel,Ángel
301,wearing,agotador
302,lunch,comida
303,Greenlee,Greenlee
304,gotten,conseguido
305,Luke,Lucas
306,paper,papel
307,Emily,Emily
308,college,Facultad
309,proud,orgulloso
310,bill,cuenta
311,Timmy,Timmy
312,hurry,apurarse
313,feet,pies
314,wondering,preguntarse
315,decision,decisión
316,ones,unos
317,mess,desorden
318,deserve,merecer
319,evidence,evidencia
320,Jerry,alemán
321,Richard,Ricardo
322,Jesus,Jesús
323,James,Jaime
324,hotel,hotel
325,concerned,preocupado
326,Eve,víspera
327,mention,mencionar
328,fell,cayó
329,neither,ninguno de los dos
330,attention,atención
331,holding,tenencia
332,near,cerca
333,beth,beth
334,gift,regalo
335,self,uno mismo
336,owe,deber
337,Nora,Nora
338,ice,hielo
339,helping,Ayudar
340,aunt,tía
341,Jax,Jax
342,earth,tierra
343,Jessica,Jessica
344,Dawson,Dawson
345,possibly,posiblemente
346,accept,aceptar
347,conversation,conversacion
348,yesterday,el dia de ayer
349,lied,mintió
350,security,seguridad
351,Barbara,Bárbara
352,tv,televisor
353,store,Tienda
354,she'd,cobertizo
355,bag,bolsa
356,Mike,Miguel
357,ball,pelota
358,single,único
359,listening,escuchando
360,cops,policías
361,deep,profundo
362,buffy,leucocitaria
363,Rafe,Rafe
364,crime,crimen
365,gentlemen,caballeros
366,walked,caminó
367,difficult,difícil
368,joke,broma
369,service,Servicio
370,favorite,favorito
371,Jim,Jim
372,broken,roto
373,Blair,Blair
374,boss,jefe
375,liked,gustó
376,summer,el verano
377,learned,aprendió
378,letting,arrendamiento
379,speaking,discurso
380,officer,oficial
381,dreams,Sueños
382,nervous,nervioso
383,charge,cargar
384,patient,paciente
385,hide,esconder
386,huge,enorme
387,breakfast,desayuno
388,awful,horrible
389,sell,vender
390,dying,moribundo
391,faith,fe
392,month,mes
393,Hal,Hal
394,Brady,Brady
395,letter,carta
396,decide,decidir
397,double,doble
398,forward,adelante
399,showed,presentado
400,smell,oler
401,seemed,pareció
402,Mary,María
403,Courtney,Courtney
404,memory,memoria
405,Joe,José
406,Tim,Tim
407,seconds,segundos
408,fly,volar
409,during,durante
410,experience,experiencia
411,discuss,discutir
412,fifty,cincuenta
413,fat,gordo
414,rich,Rico
415,suddenly,repentinamente
416,agent,agente
417,destroy,destruir
418,bucks,dólares
419,track,pista
420,peace,paz
421,arms,brazos
422,Brad,Puntilla
423,papers,documentos
424,incredible,increíble
425,knock,golpear
426,cash,dinero en efectivo
427,Skye,Skye
428,jealous,celoso
429,drug,droga
430,Molly,muchacha
431,attack,ataque
432,ground,suelo
433,weekend,fin de semana
434,matters,asuntos
435,father's,El padre de
436,king,Rey
437,Ian,Ian
438,jump,salto
439,proof,prueba
440,slept,dormido
441,Phyllis,Phyllis
442,breathe,respirar
443,warm,cálido
444,pulled,tirado
445,dating,Fechado
446,suit,traje
447,drugs,drogas
448,powers,potestades
449,finds,hallazgos
450,checked,comprobado
451,fit,encajar
452,ourselves,Nosotros mismos
453,treat,tratar
454,fear,temor
455,Anna,Anna
456,what'd,żQué
457,amber,ámbar
458,excited,emocionado
459,hiding,ocultación
460,cost,costo
461,green,verde
462,pacey,Pacey
463,noticed,notada
464,bringing,trayendo
465,note,Nota
466,sudden,repentino
467,church,Iglesia
468,bathroom,baño
469,glass,vidrio
470,places,lugares
471,teach,enseñar
472,plus,más
473,roll,rodar
474,heh,je
475,choose,escoger
476,emergency,emergencia
477,butt,extremo
478,loving,cariñoso
479,nuts,nueces
480,prue,prue
481,price,precio
482,goodbye,adiós
483,guard,Guardia
484,mood,estado animico
485,Bianca,Bianca
486,belong,pertenecer
487,cup,taza
488,taste,gusto
489,lots,lotes
490,Eddie,Eddie
491,drinking,Bebiendo
492,computer,computadora
493,yo,yo
494,spot,lugar
495,asleep,dormido
496,legal,legal
497,justice,justicia
498,camera,cámara
499,forty,cuarenta
500,pants,pantalones
501,level,nivel
502,French,francés
503,wild,salvaje
504,truly,realmente
505,desk,escritorio
506,hurts,duele
507,Neil,Neil
508,field,campo
509,allow,permitir
510,grand,grandioso
511,answers,respuestas
512,shirt,camisa
513,Christ,Cristo
514,rough,áspero
515,government,Gobierno
516,Harry,Harry
517,ought,debería
518,lights,luces
519,insane,loco
520,dealing,relación comercial
521,subject,sujeto
522,chicken,pollo
523,sun,sol
524,Salem,Salem
525,deacon,diácono
526,unfortunately,Desafortunadamente
527,goddamn,maldito
528,lab,laboratorio
529,opinion,opinión
530,held,retenida
531,common,común
532,starts,empieza
533,barely,apenas
534,dancing,baile
535,health,salud
536,cousin,prima
537,ahem,Ejem
538,twelve,doce
539,simply,simplemente
540,English,inglés
541,fifteen,quince
542,spirit,espíritu
543,names,nombres
544,America,America
545,results,resultados
546,Bonnie,Bonnie
547,w,w
548,research,investigar
549,nowhere,en ningún lugar
550,escape,escapar
551,grateful,agradecido
552,Chicago,Chicago
553,train,tren
554,goodness,bondad
555,mistakes,errores
556,heaven,cielo
557,hero,héroe
558,dumb,tonto
559,terrific,fantástico
560,Peter,Peter
561,mission,misión
562,Amy,Amy
563,gas,gas
564,whoo,whoo
565,Brian,Brian
566,truck,camión
567,teeth,diente
568,ruined,arruinado
569,Hank,Madeja
570,smoke,fumar
571,older,más viejo
572,van,camioneta
573,project,proyecto
574,pathetic,patético
575,quickly,rápidamente
576,mentioned,mencionado
577,stayed,permaneció
578,Friday,viernes
579,heads,cabezas
580,natural,natural
581,connection,conexión
582,Kate,Kate
583,Martin,Martín
584,taught,enseñó
585,sea,mar
586,duty,deber
587,Harvey,Harvey
588,kissed,besadas
589,Dave,David
590,practice,práctica
591,Andy,Andy
592,Amanda,Amanda
593,where'd,donde D
594,warning,advertencia
595,miracle,milagro
596,Seth,Seth
597,vampire,vampiro
598,bride,novia
599,account,cuenta
600,states,estados
