,English,Sphanish
0,arm,brazo
1,hair,cabello
2,alive,viva
3,Jill,Jill
4,bring,traer
5,tad,tad
6,passion,pasión
7,felt,sintió
8,done,hecho
9,Alexis,Alexis
10,ever,alguna vez
11,house,casa
12,brain,cerebro
13,sort,clasificar
14,it'll,va
15,drag,arrastrar
16,space,espacio
17,special,especial
18,bite,morder
19,Tom,Tomás
20,mine,Mia
21,fact,hecho
22,win,victoria
23,guest,huésped
24,murder,asesinato
25,doctor,médico
26,Nicholas,Nicholas
27,wonderful,maravilloso
28,everywhere,En todas partes
29,certainly,ciertamente
30,pay,pagar
31,la,la
32,pictures,fotos
33,within,dentro de
34,heavy,pesado
35,mistake,error
36,eye,ojo
37,Colleen,Muchacha
38,Zander,Zander
39,nick,mella
40,explain,explicar
41,keeps,mantiene
42,ready,Listo
43,army,Ejército
44,past,pasado
45,between,Entre
46,late,tarde
47,hope,esperanza
48,blue,azul
49,code,código
50,margo,margo
51,bout,combate
52,grow,crecer
53,broke,rompió
54,Aaron,Aaron
55,um,um
56,finished,terminado
57,piece,trozo
58,being,ser
59,today,hoy dia
60,lead,dirigir
61,alright,está bien
62,especially,especialmente
63,bitch,perra
64,except,excepto
65,birthday,cumpleaños
66,plane,avión
67,details,detalles
68,heat,calor
69,cause,porque
70,Kevin,Kevin
71,one's,unos
72,worry,preocuparse
73,we've,hemos
74,precious,precioso
75,perfect,Perfecto
76,secrets,misterios
77,page,página
78,mrs,Sra
79,Charles,Charles
80,sure,Por supuesto
81,according,según
82,quiet,tranquilo
83,beg,mendigar
84,pressure,presión
85,professor,profesor
86,bye,adiós
87,defense,defensa
88,Simon,Simón
89,fish,pez
90,considering,considerando
91,lies,mentiras
92,drink,beber
93,couch,sofá
94,Rachel,Rachel
95,aware,consciente
96,his,su
97,Lindsay,Lindsay
98,mm,mm
99,Livvie,Livvie
100,miles,millas
101,I've,He
102,break,pausa
103,information,información
104,Erica,Erica
105,p,pag
106,cream,crema
107,trial,juicio
108,lot,lote
109,offer,oferta
110,Rosanna,Rosanna
111,played,jugó
112,finish,terminar
113,willing,dispuesto
114,angry,enfadado
115,catch,captura
116,have,tener
117,monster,monstruo
118,famous,famoso
119,form,formulario
120,tape,cinta
121,spent,gastado
122,feed,alimentar
123,nurse,enfermero
124,station,estación
125,miss,extranar
126,talking,hablando
