English,Sphanish
you,tú
I,Yo
to,para
the,la
a,un/una
and,y
that,ese
it,eso
of,de
me,me
what,qué
is,es
in,en
this,esta
know,saber
I'm,estoy
for,por
no,No
have,tener
my,mi
don't,no hacer
just,sólo
not,no
do,hacer
be,ser
on,en
your,tu
was,fue
we,nosotros
it's,es
with,con
so,asi que
but,pero
all,todos
well,bien
are,son
he,él
oh,Oh
about,acerca de
right,derecho
you're,estás
get,obtener
here,aquí
out,afuera
going,yendo
like,como
yeah,Si
if,Si
her,ella
she,ella
can,puede
up,arriba
want,querer
think,pensar
that's,esa es
now,ahora
go,Vamos
him,él
at,a
how,cómo
got,obtuvo
there,allí
one,uno
did,hizo
why,por qué
see,ver
come,ven
good,bien
they,ellos
really,De Verdad
as,como
would,haría
look,Mira
when,Cuándo
time,tiempo
will,voluntad
okay,okey
back,espalda
can't,hipocresía
mean,significar
tell,contar
I'll,voy a
from,desde
hey,Oye
were,fueron
he's,él es
could,podría
didn't,no lo hizo
yes,sí
his,su
been,estado
or,o
something,algo
who,OMS
because,porque
some,algunos
had,tenía
then,luego
say,decir
ok,OK
take,llevar
an,un
way,manera
us,nosotros
little,pequeño
make,hacer
need,necesitar
gonna,ir a
never,Nunca
we're,fueron
too,también
love,amor
she's,ella es
I've,He
sure,Por supuesto
them,ellos
more,más
over,sobre
our,Ntra
sorry,lo siento
where,donde
what's,qué
let,dejar
thing,cosa
am,soy
maybe,quizás
down,abajo
man,hombre
has,posee
uh,Oh
very,muy
by,por
there's,hay
should,debería
anything,cualquier cosa
said,dicho
much,mucho
any,ninguna
life,la vida
even,incluso
off,apagado
please,por favor
doing,haciendo
thank,gracias
give,dar
only,solamente
thought,pensamiento
help,ayuda
two,dos
talk,hablar
people,gente
god,Dios
still,todavía
wait,Espere
into,en
find,encontrar
nothing,nada
again,de nuevo
things,cosas
let's,vamos
doesn't,no hace
call,llamada
told,dijo
great,genial
before,antes de
better,mejor
ever,alguna vez
night,noche
than,que
away,fuera
first,primero
believe,creer
other,otro
feel,sentir
everything,todo
work,trabajo
you've,tienes
fine,multa
home,casa
after,después
last,último
these,estas
day,día
keep,guardar
does,lo hace
put,poner
around,alrededor
stop,detener
they're,ellos son
I'd,Identificación
guy,chico
long,largo
isn't,no es
always,siempre
listen,escuchar
wanted,buscado
Mr,Señor
guys,tipo
huh,eh
those,esos
big,grande
lot,lote
happened,sucedió
thanks,Gracias
won't,no lo hará
trying,difícil
kind,tipo
wrong,equivocado
through,mediante
talking,hablando
made,hecho
new,nuevo
being,ser
guess,adivinar
hi,Hola
care,cuidado
bad,malo
mom,mamá
remember,recordar
getting,consiguiendo
we'll,bien
together,juntos
dad,padre
leave,abandonar
mother,madre
place,sitio
understand,comprender
wouldn't,no lo haría
actually,Realmente
hear,oír
baby,bebé
nice,bonito
father,padre
else,demás
stay,permanecer
done,hecho
wasn't,no era
their,sus
course,curso
might,puede que
mind,mente
every,todos
enough,suficiente
try,intentar
hell,infierno
came,llegó
someone,alguien
you'll,Vas
own,propio
family,familia
whole,entero
another,otro
house,casa
jack,Jacobo
yourself,usted mismo
idea,ocurrencia
ask,preguntar
best,mejor
must,deber
coming,viniendo
old,viejo
looking,buscando
woman,mujer
hello,Hola
which,cuales
years,años
room,habitación
money,dinero
left,izquierda
knew,supo
tonight,esta noche
real,verdadero
son,hijo
hope,esperanza
name,nombre
same,mismo
went,fue
um,um
hmm,mmm
happy,contento
pretty,bonita
saw,vio
girl,niña
sir,señor
show,show
friend,amigo
already,ya
saying,dicho
may,mayo
next,próximo
three,Tres
job,trabajo
problem,problema
minute,minuto
found,encontró
world,mundo
thinking,pensando
haven't,no tiene
heard,Escuchó
honey,miel
matter,asunto
myself,yo mismo
couldn't,no podía
exactly,exactamente
having,teniendo
ah,ah
probably,probablemente
happen,suceder
we've,hemos
hurt,lastimar
boy,chico
both,ambas cosas
while,tiempo
dead,muerto
gotta,tengo que
alone,solo
since,ya que
excuse,excusa
start,comienzo
kill,matar
hard,duro
you'd,que había
today,hoy dia
car,coche
ready,Listo
until,hasta
without,sin
whatever,lo que
wants,quiere
hold,retener
wanna,querer
yet,aún
seen,visto
deal,trato
took,tomó
once,una vez
gone,desaparecido
called,llamada
morning,Mañana
supposed,supuesto
friends,amigos
head,cabeza
stuff,cosas
most,la mayoría
used,usado
worry,preocuparse
second,segundo
part,parte
live,En Vivo
truth,verdad
school,escuela
face,rostro
forget,olvidar
TRUE,CIERTO
business,negocio
each,cada
cause,porque
soon,pronto
knows,sabe
few,pocos
telling,narración
wife,esposa
who's,quién está
use,utilizar
chance,oportunidad
run,correr
move,moverse
anyone,alguien
person,persona
bye,adiós
j,j
somebody,alguien
dr,Dr
heart,corazón
such,tal
miss,extranar
married,casado
point,punto
later,luego
making,haciendo
meet,reunirse
anyway,de todas formas
many,muchos
phone,teléfono
reason,razón
damn,maldita sea
lost,perdió
looks,mira
bring,traer
case,caso
turn,girar
wish,deseo
tomorrow,mañana
kids,niños
trust,confianza
check,cheque
change,cambiar
end,fin
late,tarde
anymore,ya no
five,cinco
least,menos
town,ciudad
aren't,no son
ha,decir ah
working,laboral
year,año
makes,hace
taking,tomando
means,medio
brother,hermano
play,tocar
hate,odio
ago,atrás
says,dice
beautiful,hermosa
gave,dio
fact,hecho
crazy,loco
party,fiesta
sit,sentar
open,abierto
afraid,asustado
between,Entre
important,importante
rest,descanso
fun,divertida
kid,niño
word,palabra
watch,reloj
glad,contento
everyone,todos
days,dias
sister,hermana
minutes,minutos
everybody,todos
bit,poco
couple,Pareja
whoa,whoa
either,cualquiera
mrs,Sra
feeling,sentimiento
daughter,hija
wow,Guau
gets,obtiene
asked,preguntó
under,bajo
break,pausa
promise,promesa
door,puerta
set,colocar
close,cerrar
hand,mano
easy,fácil
question,pregunta
doctor,médico
tried,intentado
far,lejos
walk,caminar
needs,necesidades
trouble,problema
mine,Mia
though,sin embargo
times,veces
different,diferente
killed,delicado
hospital,hospital
anybody,cualquiera
Sam,Sam
alright,está bien
wedding,boda
shut,cerrar
able,poder
die,morir
perfect,Perfecto
police,policía
stand,pararse
comes,viene
hit,pegar
story,historia
ya,ya
mm,mm
waiting,esperando
dinner,cena
against,en contra
funny,divertido
husband,marido
almost,casi
stupid,estúpido
pay,pagar
answer,respuesta
four,cuatro
office,oficina
cool,Genial
eyes,ojos
news,noticias
child,niño
shouldn't,no debería
half,medio
side,lado
yours,tuyo
moment,momento
sleep,dormir
read,leer
where's,donde de
started,empezado
young,joven
men,hombres
sounds,sonidos
sonny,hijo
lucky,afortunado
pick,elegir
sometimes,algunas veces
em,em
bed,cama
also,además
date,fecha
line,línea
plan,plan
hours,horas
lose,perder
fire,fuego
free,libre
hands,las manos
serious,grave
leo,León
shit,mierda
behind,detrás
inside,dentro
high,elevado
ahead,adelante
week,semana
wonderful,maravilloso
t,t
fight,lucha
past,pasado
cut,recorte
quite,bastante
number,número
he'll,infierno
sick,enfermo
s,s
it'll,va
game,juego
eat,comer
nobody,nadie
goes,va
death,muerte
along,a lo largo de
save,salvar
seems,parece
finally,por fin
lives,vive
worried,preocupado
upset,disgustado
Theresa,Hay una
Carly,Carly
Ethan,Ethan
met,reunió
book,libro
brought,trajo
seem,parecer
sort,clasificar
safe,a salvo
living,viviendo
children,niños
weren't,no eran
leaving,partida
front,parte delantera
shot,Disparo
loved,amado
asking,preguntando
running,corriendo
clear,claro
figure,figura
hot,caliente
felt,sintió
six,seis
parents,padres
drink,beber
absolutely,absolutamente
how's,la forma de
daddy,papá
sweet,dulce
alive,viva
Paul,Paul
sense,sentido
meant,quiso decir
happens,sucede
David,David
special,especial
bet,apuesta
blood,sangre
ain't,no es
kidding,es una broma
lie,mentir
full,completo
meeting,cita
dear,Estimado
coffee,café
seeing,vidente
sound,sonido
fault,culpa
water,agua
fuck,Mierda
ten,diez
women,mujeres
John,Juan
welcome,bienvenidos
buy,comprar
months,meses
hour,hora
speak,hablar
lady,dama
Jen,Jen
thinks,piensa
Christmas,Navidad
body,cuerpo
order,orden
outside,fuera de
hang,colgar
possible,posible
worse,peor
company,empresa
mistake,error
ooh,Oh
handle,encargarse de
spend,gastar
c,C
totally,totalmente
giving,donación
control,control
here's,aquí está
marriage,matrimonio
realize,darse cuenta de
d,D
power,poder
president,presidente
unless,a no ser que
sex,sexo
girls,muchachas
send,enviar
needed,necesario
o,o
taken,tomado
died,fallecido
scared,asustado
picture,imagen
talked,habló
Jake,Jake
al,Alabama
ass,culo
hundred,centenar
changed,cambió
completely,completamente
explain,explicar
playing,jugando
certainly,ciertamente
sign,firmar
boys,Niños
relationship,relación
Michael,Miguel
loves,ama
fucking,maldito
hair,cabello
lying,acostado
choice,elección
anywhere,en cualquier lugar
secret,secreto
future,futuro
weird,extraño
luck,suerte
she'll,cáscara
Max,Max
Luis,Luis
turned,transformado
known,conocido
touch,tocar
kiss,Beso
crane,grua
questions,preguntas
obviously,obviamente
wonder,preguntarse
pain,dolor
calling,vocación
somewhere,algun lado
throw,lanzar
straight,derecho
grace,gracia
cold,frío
white,blanco
fast,rápido
Natalie,Natalie
words,palabras
r,r
food,comida
none,ninguno
drive,conducir
feelings,sentimientos
they'll,Van a
worked,trabajó
marry,casar
light,luz
test,prueba
drop,soltar
cannot,no poder
frank,franco
sent,enviado
city,ciudad
dream,sueño
protect,proteger
twenty,veinte
class,clase
Lucy,Lucy
surprise,sorpresa
its,su
sweetheart,cariño
forever,para siempre
poor,pobre
looked,miró
mad,enojado
except,excepto
gun,pistola
y'know,sabes
dance,danza
takes,acepta
appreciate,agradecer
especially,especialmente
situation,situación
besides,además
weeks,semanas
pull,jalar
himself,él mismo
hasn't,no tiene
act,Actuar
worth,valor
Sheridan,Sheridan
amazing,increíble
top,cima
given,dado
expect,suponer
ben,ben
rather,bastante
Julian,Julian
involved,involucrado
swear,jurar
piece,trozo
busy,ocupado
law,ley
decided,decidió
black,negro
Joey,Joey
happening,sucediendo
movie,película
we'd,casarse
catch,captura
Antonio,Antonio
country,país
less,menos
perhaps,quizás
step,paso
fall,otoño
watching,mirando
kept,conservó
darling,querida
dog,perro
ms,milisegundo
win,victoria
air,aire
honor,honor
personal,personal
moving,Moviente
till,hasta que
admit,admitir
problems,problemas
murder,asesinato
strong,fuerte
he'd,había
evil,maldad
definitely,definitivamente
feels,siente
information,información
honest,honesto
eye,ojo
broke,rompió
missed,omitido
longer,más extenso
dollars,dólares
tired,cansado
Jason,Jason
George,Jorge
evening,noche
human,humano
starting,a partir de
Ross,Ross
red,rojo
entire,completo
trip,viaje
Brooke,Brooke
e,mi
club,club
Niles,Niles
suppose,suponer
calm,calma
imagine,imagina
Todd,Todd
fair,justa
caught,atrapó
b,B
blame,culpar
street,calle
sitting,sentado
favor,favor
apartment,Departamento
court,Tribunal
terrible,terrible
clean,limpio
Tony,tony
learn,aprender
Alison,Alison
Rick,Almiar
works,obras
Rose,Rosa
Frasier,Frasier
relax,relajarse
York,York
million,millón
charity,caridad
accident,accidente
wake,despertarse
prove,probar
Danny,Danny
smart,inteligente
message,mensaje
missing,desaparecido
forgot,olvidó
small,pequeño
interested,interesado
table,mesa
nbsp,nbsp
become,volverse
Craig,Craig
mouth,boca
pregnant,embarazada
middle,medio
Billy,Porra
ring,anillo
careful,Cuidado
shall,deberá
dude,amigo
team,equipo
ride,montar
figured,figurado
wear,vestir
shoot,disparo
stick,palo
ray,rayo
follow,seguir
bo,bo
angry,enfadado
instead,en lugar de
buddy,compañero
write,escribir
stopped,detenido
early,temprano
angel,Ángel
nick,mella
ran,corrió
war,guerra
standing,de pie
forgive,perdonar
jail,celda
wearing,agotador
Miguel,Miguel
ladies,señoras
kinda,un poco
lunch,comida
Cristian,Cristian
eight,ocho
Greenlee,Greenlee
gotten,conseguido
hoping,esperando
Phoebe,Phoebe
thousand,mil
ridge,cresta
music,música
Luke,Lucas
paper,papel
tough,difícil
tape,cinta
Emily,Emily
state,estado
count,contar
college,Facultad
boyfriend,novio
proud,orgulloso
agree,de acuerdo
birthday,cumpleaños
bill,cuenta
seven,Siete
they've,ellos tienen
Timmy,Timmy
history,historia
share,Cuota
offer,oferta
hurry,apurarse
ow,Ay
feet,pies
wondering,preguntarse
simple,sencillo
decision,decisión
building,edificio
ones,unos
finish,terminar
voice,voz
herself,sí misma
Chris,Chris
would've,he Would
list,lista
Kay,Kay
mess,desorden
deserve,merecer
evidence,evidencia
cute,linda
Jerry,alemán
dress,vestir
Richard,Ricardo
interesting,interesante
Jesus,Jesús
James,Jaime
hotel,hotel
enjoy,disfrutar
Ryan,Ryan
Lindsay,Lindsay
